ｃ,名前,,立ち絵,,SE,BGM,
52,星見,「いや、映画がっていうか……私は趣味自体がなくってさ」,,,,,
53,暮六,「パソコンでエフ……エフ……エフ……ゲームしてませんでしたか？」,立ち絵17,,,,
53,星見,「ＦＰＳね。銃で打ち合いするゲーム。まあ、するけどたまーにって感じよ」,,,,,
53,暮六,「だから、枕投げうまかったんですね！」,立ち絵12,,,,
53,星見,「多分関係ない」,,,,,
54,暮六,「あと、ほら、英語とか……英語とか……英語とか……言語いろいろ覚えてますよね？」,立ち絵17,,,,
54,星見,「せめて、２種類くらいは覚えてて」,,,,,
54,暮六,「世界にある言語って日本語と英語の他に何がありましたっけ？」,,,,,
54,星見心の声,この問題は根が深かった,,,,,
55,星見,「まあ、検定や資格の類を取るのは好きね」,,,,,
55,暮六,「それが趣味では？」,,,,,
55,星見,「暮六に会ってからはひとつも取ってないから違うでしょ」,,,,,
55,暮六,「あらま」,立ち絵１,,,,
56,星見,「運動も嫌いじゃないけどのめり込むほどじゃないし……それとも、趣味ってそんなもん？」,,,,,
56,暮六,「スティブーン監督の映画がなくなったら死にます」,立ち絵３,,ガタッ,,
56,星見,「ヒエッ」,,,,,
57,星見,「じゃあ、やっぱり私は趣味ないんでしょ」,,,,,
57,暮六,「では、スティブーン映画の沼にハマりましょう」,立ち絵６,,ガタッ,,
57,星見,「そろそろその顔やめて」,,,,,
58,星見心の声,好きなものがあって臆面もなくそれを「好き」と言える暮六を、私は少し羨ましいと感じた。,,,,,
1,―,FADEOUT,,,,,
2,―,WAIT,なし,,,stop,0.5
3,―,FADEIN,,映画館,,,0.5
60,暮六,「星見さん星見さん。今のライターのフタを鳴らすのがスティブーン監督独特の伏線表現です！　もう格好良くて大好きです！　絶対面白いことになるから覚えておいた方がいいですよ！」,なし,,,,
60,星見,「暮六、声大きい」,,,,,
60,暮六,「あ、すみません」,,,,,
61,暮六,「星見さん星見さん、今の高速パンがスティブーン監督の『スティブーン回し』ですよ！　一瞬の絵の中に登場人物全員の表情を収めることで場の雰囲気を素早く表現してるんです！　私、大好きなんですよ！」,,,,,
61,星見,「暮六、声が大きい」,,,,,
61,暮六,「あ、すみません」,,,,,
62,暮六,「星見さん星見さん、今の背景に映った土偶がスティブーン監督の遊び心で――」,,,,,
62,星見,「黙　っ　て　見　て　な　さ　い」,,,,,SLOW
62,暮六,「ハイ」,,,,,
63,星見心の声,好きなものがあって臆面もなくそれを「好き」と言える暮六を、私は少しめんどくせえなコイツと感じた。,,,,,
1,―,FADEOUT,,,,VOLUME,0.5
2,―,WAIT,,,,stop,1
2,―,WAIT,,,拍手,,1
3,―,FADEIN,,,,,0
65,星見心の声,銀幕は拍手に包まれた。,,,,nc2422_オルゴールBGM,
66,星見心の声,良い映画だったのだろう。観客には涙ぐむ人さえ居た。,,,,,
67,星見心の声,きっと暮六も満足したに違いない。,,,,,
68,星見心の声,現代を生きる吸血鬼の物語だった。,,,,,
69,星見心の声,人の血を吸わないことを誓った吸血鬼の男がひとけのない小さな町でとある平凡な少女と出会う。 ,,,,,
69,星見心の声,少女は非日常に憧れ、自らも吸血鬼になるべく男に血を吸うよう迫る。,,,,,
69,星見心の声,男はそんな少女をいなしながら日々を過ごす。,,,,,
70,星見心の声,刺激のない隠居生活に飽いていた男は次第に少女に惹かれ、少女もまた男の真摯さに惹かれていく。,,,,,
70,星見心の声,そうして、男が少女と近づいてしまったがために、男は吸血鬼ハンターに見つかってしまう。,,,,,
70,星見心の声,ハンターは少女を人質に取り、男に死を迫る。,,,,,
70,星見心の声,少女は最初に男に近づいた目的は吸血鬼となって罹っている死病から逃れるためであったと告白する。,,,,,
70,星見心の声,「だから、逃げてほしい」と願う少女に、「ならば、助けたい」と男は抗った。,,,,,
70,星見心の声,最終的に、男は吸血鬼にしないよう少女から間接的に吸血して力を得てハンターを撃退する。,,,,,
70,星見心の声,少女の死病を取り除き、そして、,,,,,
72,星見心の声,『月夜に愛を』,,,,,
72,星見心の声,ああ、ぴったりなタイトルだ。,,,,,
73,星見心の声,吸血鬼の男が少女から自らの思い出を消して去っていったのが、至極印象的であった。,,,,,
74,星見心の声,人間が吸血鬼になれない。そんな物語だった。,,,,,
75,星見心の声,<r=ワタシ>人間</r>は<r=ノスフェラトゥ>吸血鬼</r>になれないのだろうか。,,,,,ルビ：人間「ワタシ」 吸血鬼 「ノスフェラトゥ」
75,星見心の声,なっては、いけないのだろうか。,,,,,
1,―,FADEOUT,,,,stop,
2,―,WAIT,なし,,,VOLUME,1
3,―,FADEIN,,,,,0
76,―,WAIT,,夜の駅前,,町中の喧騒_大,1
77,星見,「良い映画だったわ。暮六が推すだけのことはあるわね」,,,,木漏れ日,
77,暮六,「んー……そうですね」,立ち絵17,,,,
78,星見,「何よ、気のない返事ね。つまらなかったの？」,,,,,
78,暮六,「あ、いえ。良い作品だとは思いましたよ。お客さんみんな喜んでましたし。これぞスティブーン監督だ！　って名シーンもたくさんありました」,,,,,
79,暮六,「ただ……」,,,,,
80,暮六,「あたしはヒロイン連れ去ってほしかったので、そこだけちょーーーーーーーーーっと引っかかってます」,立ち絵19,,,,
81,暮六,「<r=ファン>信者</r>としてはスティブーン監督の出されたものをそのまま楽しむべきと思うのですが、ここだけどうにも納得できなくて……,,,,,ルビ：信者「ファン」
81,暮六,葛藤が凄いです」,,,,,
82,星見心の声,なんと言ったものか。,,,,,
83,星見,「今変な顔してるから、ぜっっったいこっち見んな。見たらコロス」,,,,,
83,暮六,「なぜ突然変顔を！？」,立ち絵12,,,,
83,星見心の声,本当に、なんと言ったものか。,,,,,
84,星見,「……暮六ってチョコ好き？」,,,,,
84,暮六,「え？　大好きですけど？」,立ち絵１,,,,
85,星見,「そう」,,,,,
86,星見,「……」,,,,,チョコ手渡す
86,星見心の声,私の帰りの荷物は、どうやら軽くなりそうだ。,,,,,
87,―,DISPLAYTITLE,,,,,END
,,タイトル画面へ,,,,,（タイトル画面はBGM雲の隙間ででお願いします）
